"Reporting Area","Current MMWR Year","MMWR WEEK","Label","Current week","Current week, flag","Previous 52 week Max","Previous 52 weeks Max, flag","Cumulative YTD Current MMWR Year","Cumulative YTD Current MMWR Year, flag","Cumulative YTD Previous MMWR Year","Cumulative YTD Previous MMWR Year, flag","LOCATION1","LOCATION2","sort_order","geocode"
"CALIFORNIA","2022","1","Campylobacteriosis","47","-","249","-","47","-","50","-","CALIFORNIA",,"20220101039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","1","Coccidioidomycosis","10","-","212","-","10","-","61","-","CALIFORNIA",,"20220101459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220104049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","1","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220104119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","1","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","1","-","102","-","1","-","4","-","CALIFORNIA",,"20220105659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","2","Campylobacteriosis","30","-","249","-","83","-","135","-","CALIFORNIA",,"20220201039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","2","Coccidioidomycosis","8","-","206","-","20","-","273","-","CALIFORNIA",,"20220201459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","2","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220204049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","2","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220204119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","2","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","6","-","102","-","7","-","39","-","CALIFORNIA",,"20220205659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","3","Campylobacteriosis",,"-","249","-","100","-","224","-","CALIFORNIA",,"20220301039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","3","Coccidioidomycosis",,"-","206","-","24","-","454","-","CALIFORNIA",,"20220301459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","3","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220304049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","3","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220304119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","3","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)",,"-","102","-","7","-","70","-","CALIFORNIA",,"20220305659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","4","Campylobacteriosis","2","-","249","-","130","-","312","-","CALIFORNIA",,"20220401039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","4","Coccidioidomycosis","2","-","207","-","44","-","625","-","CALIFORNIA",,"20220401459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","4","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220404049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","4","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220404119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","4","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)",,"-","102","-","26","-","97","-","CALIFORNIA",,"20220405659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","5","Campylobacteriosis","27","-","249","-","305","-","397","-","CALIFORNIA",,"20220501039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","5","Coccidioidomycosis","12","-","208","-","168","-","786","-","CALIFORNIA",,"20220501459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","5","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220504049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","5","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220504119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","5","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","3","-","102","-","39","-","130","-","CALIFORNIA",,"20220505659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","6","Campylobacteriosis","29","-","250","-","473","-","500","-","CALIFORNIA",,"20220601039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","6","Coccidioidomycosis","15","-","214","-","285","-","958","-","CALIFORNIA",,"20220601459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","6","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220604049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","6","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220604119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","6","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","2","-","101","-","107","-","154","-","CALIFORNIA",,"20220605659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","7","Campylobacteriosis","95","-","250","-","679","-","605","-","CALIFORNIA",,"20220701039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","7","Coccidioidomycosis","43","-","214","-","435","-","1,115","-","CALIFORNIA",,"20220701459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","7","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220704049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","7","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220704119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","7","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","20","-","101","-","140","-","178","-","CALIFORNIA",,"20220705659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","8","Campylobacteriosis","60","-","250","-","812","-","732","-","CALIFORNIA",,"20220801039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","8","Coccidioidomycosis","23","-","214","-","500","-","1,247","-","CALIFORNIA",,"20220801459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","8","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220804049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","8","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220804119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","8","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","11","-","101","-","188","-","202","-","CALIFORNIA",,"20220805659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","9","Campylobacteriosis","54","-","250","-","894","-","830","-","CALIFORNIA",,"20220901039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","9","Coccidioidomycosis","22","-","216","-","560","-","1,398","-","CALIFORNIA",,"20220901459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","9","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220904049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","9","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220904119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","9","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","19","-","102","-","221","-","226","-","CALIFORNIA",,"20220905659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","10","Campylobacteriosis","58","-","251","-","1,078","-","918","-","CALIFORNIA",,"20221001039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","10","Coccidioidomycosis","20","-","223","-","736","-","1,580","-","CALIFORNIA",,"20221001459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","10","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221004049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","10","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221004119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","10","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","10","-","102","-","243","-","253","-","CALIFORNIA",,"20221005659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","11","Campylobacteriosis","48","-","252","-","1,142","-","1,021","-","CALIFORNIA",,"20221101039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","11","Coccidioidomycosis","28","-","223","-","784","-","1,767","-","CALIFORNIA",,"20221101459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","11","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221104049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","11","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221104119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","11","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","22","-","102","-","300","-","292","-","CALIFORNIA",,"20221105659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","12","Campylobacteriosis","89","-","252","-","1,294","-","1,155","-","CALIFORNIA",,"20221201039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","12","Coccidioidomycosis","23","-","223","-","851","-","1,932","-","CALIFORNIA",,"20221201459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","12","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221204049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","12","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221204119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","12","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","15","-","103","-","306","-","324","-","CALIFORNIA",,"20221205659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","13","Campylobacteriosis","114","-","252","-","1,432","-","1,277","-","CALIFORNIA",,"20221301039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","13","Coccidioidomycosis","27","-","224","-","927","-","2,098","-","CALIFORNIA",,"20221301459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","13","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221304049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","13","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221304119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","13","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","16","-","105","-","381","-","356","-","CALIFORNIA",,"20221305659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","14","Campylobacteriosis","52","-","252","-","1,505","-","1,405","-","CALIFORNIA",,"20221401039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","14","Coccidioidomycosis","30","-","224","-","972","-","2,273","-","CALIFORNIA",,"20221401459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","14","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221404049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","14","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221404119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","14","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","22","-","105","-","430","-","401","-","CALIFORNIA",,"20221405659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","15","Campylobacteriosis","116","-","252","-","1,701","-","1,546","-","CALIFORNIA",,"20221501039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","15","Coccidioidomycosis","42","-","224","-","1,111","-","2,423","-","CALIFORNIA",,"20221501459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","15","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221504049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","15","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221504119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","15","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","20","-","105","-","464","-","450","-","CALIFORNIA",,"20221505659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","16","Campylobacteriosis","66","-","252","-","1,808","-","1,689","-","CALIFORNIA",,"20221601039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","16","Coccidioidomycosis","22","-","224","-","1,165","-","2,584","-","CALIFORNIA",,"20221601459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","16","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221604049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","16","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221604119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","16","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","29","-","105","-","520","-","502","-","CALIFORNIA",,"20221605659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","17","Campylobacteriosis","170","-","252","-","2,067","-","1,838","-","CALIFORNIA",,"20221701039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","17","Coccidioidomycosis","67","-","224","-","1,334","-","2,694","-","CALIFORNIA",,"20221701459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","17","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221704049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","17","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221704119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","17","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","34","-","105","-","574","-","551","-","CALIFORNIA",,"20221705659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","18","Campylobacteriosis","164","-","252","-","2,283","-","1,990","-","CALIFORNIA",,"20221801039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","18","Coccidioidomycosis","38","-","224","-","1,438","-","2,845","-","CALIFORNIA",,"20221801459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","18","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221804049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","18","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221804119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","18","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","13","-","106","-","581","-","606","-","CALIFORNIA",,"20221805659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","19","Campylobacteriosis","171","-","254","-","2,538","-","2,165","-","CALIFORNIA",,"20221901039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","19","Coccidioidomycosis","30","-","227","-","1,579","-","2,995","-","CALIFORNIA",,"20221901459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","19","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221904049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","19","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20221904119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","19","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","17","-","106","-","717","-","651","-","CALIFORNIA",,"20221905659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","20","Campylobacteriosis","79","-","254","-","2,662","-","2,335","-","CALIFORNIA",,"20222001039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","20","Coccidioidomycosis","29","-","227","-","1,714","-","3,150","-","CALIFORNIA",,"20222001459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","20","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222004049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","20","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222004119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","20","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","20","-","106","-","775","-","709","-","CALIFORNIA",,"20222005659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","21","Campylobacteriosis","154","-","254","-","2,940","-","2,533","-","CALIFORNIA",,"20222101039","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","21","Coccidioidomycosis","18","-","230","-","1,869","-","3,323","-","CALIFORNIA",,"20222101459","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","21","Measles, Imported",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222104049","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","21","Measles, Indigenous",,"-","0","-",,"-",,"-","CALIFORNIA",,"20222104119","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","21","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)","19","-","106","-","836","-","775","-","CALIFORNIA",,"20222105659","POINT (-119.662127 37.211164)"
"CALIFORNIA","2022","22","Campylobacteriosis","87","-","254","-","3,128","-","2,706","-","CALIFORNIA",,"20222201039","POINT (-119.662127 37.211164)"
