"date_updated","state","start_date","end_date","tot_cases","new_cases","tot_deaths","new_deaths","new_historic_cases","new_historic_deaths"
"01/23/2020","CA","01/16/2020","01/22/2020","0","0","0","0","0","0"
"01/30/2020","CA","01/23/2020","01/29/2020","2","2","0","0","0","0"
"02/06/2020","CA","01/30/2020","02/05/2020","8","6","0","0","0","0"
"02/13/2020","CA","02/06/2020","02/12/2020","16","8","0","0","0","0"
"02/20/2020","CA","02/13/2020","02/19/2020","30","14","0","0","0","0"
"02/27/2020","CA","02/20/2020","02/26/2020","52","22","0","0","0","0"
"03/05/2020","CA","02/27/2020","03/04/2020","80","28","1","1","0","0"
"03/12/2020","CA","03/05/2020","03/11/2020","220","140","3","2","0","0"
"03/19/2020","CA","03/12/2020","03/18/2020","688","468","15","12","0","0"
"03/26/2020","CA","03/19/2020","03/25/2020","3,000","2,312","64","49","0","0"
"04/02/2020","CA","03/26/2020","04/01/2020","8,169","5,169","172","108","0","0"
"04/09/2020","CA","04/02/2020","04/08/2020","17,141","8,972","442","270","0","0"
"04/16/2020","CA","04/09/2020","04/15/2020","24,509","7,368","788","346","0","0"
"04/23/2020","CA","04/16/2020","04/22/2020","35,489","10,980","1,295","507","0","0"
"04/30/2020","CA","04/23/2020","04/29/2020","46,601","11,112","1,811","516","0","0"
"05/07/2020","CA","04/30/2020","05/06/2020","58,944","12,343","2,327","516","0","0"
"05/14/2020","CA","05/07/2020","05/13/2020","71,209","12,265","2,828","501","0","0"
"05/21/2020","CA","05/14/2020","05/20/2020","84,248","13,039","3,364","536","0","0"
"05/28/2020","CA","05/21/2020","05/27/2020","99,217","14,969","3,706","342","0","0"
"06/04/2020","CA","05/28/2020","06/03/2020","117,953","18,736","4,231","525","0","0"
"06/11/2020","CA","06/04/2020","06/10/2020","136,486","18,533","4,667","436","0","0"
"06/18/2020","CA","06/11/2020","06/17/2020","157,370","20,884","5,064","397","0","0"
"06/25/2020","CA","06/18/2020","06/24/2020","190,663","33,293","5,499","435","0","0"
"07/02/2020","CA","06/25/2020","07/01/2020","233,232","42,569","5,978","479","0","0"
"07/09/2020","CA","07/02/2020","07/08/2020","290,315","57,083","6,475","497","0","0"
"07/16/2020","CA","07/09/2020","07/15/2020","348,837","58,522","7,164","689","0","0"
"07/23/2020","CA","07/16/2020","07/22/2020","415,355","66,518","7,792","628","0","0"
"07/30/2020","CA","07/23/2020","07/29/2020","477,548","62,193","8,593","801","0","0"
"08/06/2020","CA","07/30/2020","08/05/2020","527,507","49,959","9,519","926","0","0"
"08/13/2020","CA","08/06/2020","08/12/2020","589,347","61,840","10,489","970","0","0"
"08/20/2020","CA","08/13/2020","08/19/2020","642,733","53,386","11,301","812","0","0"
"08/27/2020","CA","08/20/2020","08/26/2020","683,755","41,022","12,154","853","0","0"
"09/03/2020","CA","08/27/2020","09/02/2020","717,359","33,604","12,953","799","0","0"
"09/10/2020","CA","09/03/2020","09/09/2020","745,413","28,054","13,724","771","0","0"
"09/17/2020","CA","09/10/2020","09/16/2020","769,360","23,947","14,407","683","0","0"
"09/24/2020","CA","09/17/2020","09/23/2020","794,466","25,106","15,035","628","0","0"
"10/01/2020","CA","09/24/2020","09/30/2020","818,187","23,721","15,654","619","0","0"
"10/08/2020","CA","10/01/2020","10/07/2020","839,551","21,364","16,127","473","0","0"
"10/15/2020","CA","10/08/2020","10/14/2020","864,186","24,635","16,520","393","0","0"
"10/22/2020","CA","10/15/2020","10/21/2020","887,761","23,575","16,987","467","0","0"
"10/29/2020","CA","10/22/2020","10/28/2020","919,822","32,061","17,427","440","0","0"
"11/05/2020","CA","10/29/2020","11/04/2020","952,925","33,103","17,772","345","0","0"
"11/12/2020","CA","11/05/2020","11/11/2020","999,876","46,951","18,093","321","0","0"
"11/19/2020","CA","11/12/2020","11/18/2020","1,066,486","66,610","18,386","293","0","0"
"11/26/2020","CA","11/19/2020","11/25/2020","1,168,074","101,588","18,915","529","0","0"
"12/03/2020","CA","11/26/2020","12/02/2020","1,276,985","108,911","19,368","453","0","0"
"12/10/2020","CA","12/03/2020","12/09/2020","1,461,837","184,852","20,253","885","0","0"
"12/17/2020","CA","12/10/2020","12/16/2020","1,725,293","263,456","21,409","1,156","0","0"
"12/24/2020","CA","12/17/2020","12/23/2020","2,030,639","305,346","23,096","1,687","0","0"
"12/31/2020","CA","12/24/2020","12/30/2020","2,302,033","271,394","24,738","1,642","0","0"
"01/07/2021","CA","12/31/2020","01/06/2021","2,582,223","280,190","27,223","2,485","0","0"
"01/14/2021","CA","01/07/2021","01/13/2021","2,893,938","311,715","30,641","3,418","0","0"
"01/21/2021","CA","01/14/2021","01/20/2021","3,141,655","247,717","33,690","3,049","0","0"
"01/28/2021","CA","01/21/2021","01/27/2021","3,299,740","158,085","37,317","3,627","0","0"
"02/04/2021","CA","01/28/2021","02/03/2021","3,416,533","116,793","40,982","3,665","0","0"
"02/11/2021","CA","02/04/2021","02/10/2021","3,502,301","85,768","44,372","3,390","0","0"
"02/18/2021","CA","02/11/2021","02/17/2021","3,558,160","55,859","46,996","2,624","0","0"
"02/25/2021","CA","02/18/2021","02/24/2021","3,599,728","41,568","49,366","2,370","0","0"
"03/04/2021","CA","02/25/2021","03/03/2021","3,631,137","31,409","52,324","2,958","0","0"
"03/11/2021","CA","03/04/2021","03/10/2021","3,661,458","30,321","54,217","1,893","0","0"
"03/18/2021","CA","03/11/2021","03/17/2021","3,681,883","20,425","55,536","1,319","0","0"
"03/25/2021","CA","03/18/2021","03/24/2021","3,701,825","19,942","56,749","1,213","0","0"
"04/01/2021","CA","03/25/2021","03/31/2021","3,720,602","18,777","57,823","1,074","0","0"
"04/08/2021","CA","04/01/2021","04/07/2021","3,739,851","19,249","58,521","698","0","0"
"04/15/2021","CA","04/08/2021","04/14/2021","3,762,096","22,245","59,210","689","0","0"
"04/22/2021","CA","04/15/2021","04/21/2021","3,778,861","16,765","59,704","494","0","0"
"04/29/2021","CA","04/22/2021","04/28/2021","3,792,591","13,730","60,046","342","0","0"
"05/06/2021","CA","04/29/2021","05/05/2021","3,805,641","13,050","60,595","549","0","0"
"05/13/2021","CA","05/06/2021","05/12/2021","3,818,032","12,391","60,995","400","0","0"
"05/20/2021","CA","05/13/2021","05/19/2021","3,827,885","9,853","61,273","278","0","0"
"05/27/2021","CA","05/20/2021","05/26/2021","3,836,560","8,675","61,494","221","0","0"
"06/03/2021","CA","05/27/2021","06/02/2021","3,847,022","10,462","61,730","236","0","0"
"06/10/2021","CA","06/03/2021","06/09/2021","3,853,677","6,655","62,039","309","0","0"
"06/17/2021","CA","06/10/2021","06/16/2021","3,859,768","6,091","62,169","130","0","0"
"06/24/2021","CA","06/17/2021","06/23/2021","3,866,342","6,574","62,384","215","0","0"
"07/01/2021","CA","06/24/2021","06/30/2021","3,875,227","8,885","62,685","301","0","0"
"07/08/2021","CA","07/01/2021","07/07/2021","3,886,793","11,566","62,917","232","0","0"
"07/15/2021","CA","07/08/2021","07/14/2021","3,908,447","21,654","63,168","251","0","0"
"07/22/2021","CA","07/15/2021","07/21/2021","3,944,648","36,201","63,339","171","0","0"
"07/29/2021","CA","07/22/2021","07/28/2021","3,998,313","53,665","63,516","177","0","0"
"08/05/2021","CA","07/29/2021","08/04/2021","4,070,342","72,029","63,729","213","0","0"
"08/12/2021","CA","08/05/2021","08/11/2021","4,156,032","85,690","63,975","246","0","0"
"08/19/2021","CA","08/12/2021","08/18/2021","4,250,874","94,842","64,290","315","0","0"
