REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
California,2015,40,683,2,0,0.29,0.29,0
California,2015,41,661,3,2,0.76,0.45,0.3
California,2015,42,609,2,0,0.33,0.33,0
California,2015,43,677,0,0,0,0,0
California,2015,44,811,9,0,1.11,1.11,0
California,2015,45,873,6,3,1.03,0.69,0.34
California,2015,46,943,4,2,0.64,0.42,0.21
California,2015,47,858,4,1,0.58,0.47,0.12
California,2015,48,1015,9,7,1.58,0.89,0.69
California,2015,49,985,6,3,0.91,0.61,0.3
California,2015,50,1015,11,8,1.87,1.08,0.79
California,2015,51,1110,22,18,3.6,1.98,1.62
California,2015,52,1263,34,18,4.12,2.69,1.43
California,2016,1,1431,85,35,8.39,5.94,2.45
California,2016,2,1477,109,39,10.02,7.38,2.64
California,2016,3,1627,137,68,12.6,8.42,4.18
California,2016,4,1897,172,83,13.44,9.07,4.38
California,2016,5,2037,205,100,14.97,10.06,4.91
California,2016,6,2362,316,183,21.13,13.38,7.75
California,2016,7,2543,387,222,23.95,15.22,8.73
California,2016,8,2538,317,275,23.33,12.49,10.84
California,2016,9,2497,304,265,22.79,12.17,10.61
California,2016,10,2055,199,201,19.46,9.68,9.78
California,2016,11,2102,121,165,13.61,5.76,7.85
California,2016,12,1587,83,124,13.04,5.23,7.81
California,2016,13,1376,61,60,8.79,4.43,4.36
California,2016,14,1332,40,55,7.13,3,4.13
California,2016,15,1045,29,23,4.98,2.78,2.2
California,2016,16,986,23,16,3.96,2.33,1.62
California,2016,17,1064,20,15,3.29,1.88,1.41
California,2016,18,785,9,14,2.93,1.15,1.78
California,2016,19,649,11,4,2.31,1.69,0.62
California,2016,20,669,9,3,1.79,1.35,0.45
California,2016,21,596,6,5,1.85,1.01,0.84
California,2016,22,489,2,3,1.02,0.41,0.61
California,2016,23,503,4,1,0.99,0.8,0.2
California,2016,24,504,5,0,0.99,0.99,0
California,2016,25,509,0,2,0.39,0,0.39
California,2016,26,398,0,1,0.25,0,0.25
California,2016,27,365,1,0,0.27,0.27,0
California,2016,28,480,2,2,0.83,0.42,0.42
California,2016,29,517,4,0,0.77,0.77,0
California,2016,30,433,2,1,0.69,0.46,0.23
California,2016,31,452,1,0,0.22,0.22,0
California,2016,32,351,0,1,0.28,0,0.28
California,2016,33,475,0,1,0.21,0,0.21
California,2016,34,382,3,1,1.05,0.79,0.26
California,2016,35,434,3,0,0.69,0.69,0
California,2016,36,455,5,1,1.32,1.1,0.22
California,2016,37,569,3,0,0.53,0.53,0
California,2016,38,564,9,4,2.3,1.6,0.71
California,2016,39,624,4,2,0.96,0.64,0.32
California,2016,40,668,2,0,0.3,0.3,0
California,2016,41,708,5,0,0.71,0.71,0
California,2016,42,719,3,2,0.7,0.42,0.28
California,2016,43,698,9,2,1.58,1.29,0.29
California,2016,44,728,9,0,1.24,1.24,0
California,2016,45,839,10,1,1.31,1.19,0.12
California,2016,46,878,10,1,1.25,1.14,0.11
California,2016,47,840,15,2,2.02,1.79,0.24
California,2016,48,1063,17,2,1.79,1.6,0.19
California,2016,49,1021,30,2,3.13,2.94,0.2
California,2016,50,1222,64,4,5.56,5.24,0.33
California,2016,51,1342,105,1,7.9,7.82,0.07
California,2016,52,1630,186,9,11.96,11.41,0.55
California,2017,1,1867,291,0,15.59,15.59,0
California,2017,2,1953,313,7,16.39,16.03,0.36
California,2017,3,1791,234,8,13.51,13.07,0.45
California,2017,4,1725,211,8,12.7,12.23,0.46
California,2017,5,1820,248,12,14.29,13.63,0.66
California,2017,6,1844,276,11,15.56,14.97,0.6
California,2017,7,1797,192,12,11.35,10.68,0.67
California,2017,8,1532,140,12,9.92,9.14,0.78
California,2017,9,1428,92,10,7.14,6.44,0.7
California,2017,10,1494,80,13,6.22,5.35,0.87
California,2017,11,1408,87,18,7.46,6.18,1.28
California,2017,12,1224,62,18,6.54,5.07,1.47
California,2017,13,1118,42,21,5.64,3.76,1.88
California,2017,14,1121,44,35,7.05,3.93,3.12
California,2017,15,870,19,28,5.4,2.18,3.22
California,2017,16,890,11,25,4.04,1.24,2.81
California,2017,17,811,10,23,4.07,1.23,2.84
