REGION,YEAR,WEEK,LABEL,TOTAL CASES
CALIFORNIA,2022,1,Campylobacteriosis,47.0
CALIFORNIA,2022,1,Coccidioidomycosis,10.0
CALIFORNIA,2022,1,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),1.0
CALIFORNIA,2022,2,Campylobacteriosis,30.0
CALIFORNIA,2022,2,Coccidioidomycosis,8.0
CALIFORNIA,2022,2,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),6.0
CALIFORNIA,2022,3,Campylobacteriosis,
CALIFORNIA,2022,3,Coccidioidomycosis,
CALIFORNIA,2022,3,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),
CALIFORNIA,2022,4,Campylobacteriosis,2.0
CALIFORNIA,2022,4,Coccidioidomycosis,2.0
CALIFORNIA,2022,4,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),
CALIFORNIA,2022,5,Campylobacteriosis,27.0
CALIFORNIA,2022,5,Coccidioidomycosis,12.0
CALIFORNIA,2022,5,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),3.0
CALIFORNIA,2022,6,Campylobacteriosis,29.0
CALIFORNIA,2022,6,Coccidioidomycosis,15.0
CALIFORNIA,2022,6,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),2.0
CALIFORNIA,2022,7,Campylobacteriosis,95.0
CALIFORNIA,2022,7,Coccidioidomycosis,43.0
CALIFORNIA,2022,7,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),20.0
CALIFORNIA,2022,8,Campylobacteriosis,60.0
CALIFORNIA,2022,8,Coccidioidomycosis,23.0
CALIFORNIA,2022,8,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),11.0
CALIFORNIA,2022,9,Campylobacteriosis,54.0
CALIFORNIA,2022,9,Coccidioidomycosis,22.0
CALIFORNIA,2022,9,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),19.0
CALIFORNIA,2022,10,Campylobacteriosis,58.0
CALIFORNIA,2022,10,Coccidioidomycosis,20.0
CALIFORNIA,2022,10,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),10.0
CALIFORNIA,2022,11,Campylobacteriosis,48.0
CALIFORNIA,2022,11,Coccidioidomycosis,28.0
CALIFORNIA,2022,11,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),22.0
CALIFORNIA,2022,12,Campylobacteriosis,89.0
CALIFORNIA,2022,12,Coccidioidomycosis,23.0
CALIFORNIA,2022,12,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),15.0
CALIFORNIA,2022,13,Campylobacteriosis,114.0
CALIFORNIA,2022,13,Coccidioidomycosis,27.0
CALIFORNIA,2022,13,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),16.0
CALIFORNIA,2022,14,Campylobacteriosis,52.0
CALIFORNIA,2022,14,Coccidioidomycosis,30.0
CALIFORNIA,2022,14,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),22.0
CALIFORNIA,2022,15,Campylobacteriosis,116.0
CALIFORNIA,2022,15,Coccidioidomycosis,42.0
CALIFORNIA,2022,15,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),20.0
CALIFORNIA,2022,16,Campylobacteriosis,66.0
CALIFORNIA,2022,16,Coccidioidomycosis,22.0
CALIFORNIA,2022,16,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),29.0
CALIFORNIA,2022,17,Campylobacteriosis,170.0
CALIFORNIA,2022,17,Coccidioidomycosis,67.0
CALIFORNIA,2022,17,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),34.0
CALIFORNIA,2022,18,Campylobacteriosis,164.0
CALIFORNIA,2022,18,Coccidioidomycosis,38.0
CALIFORNIA,2022,18,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),13.0
CALIFORNIA,2022,19,Campylobacteriosis,171.0
CALIFORNIA,2022,19,Coccidioidomycosis,30.0
CALIFORNIA,2022,19,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),17.0
CALIFORNIA,2022,20,Campylobacteriosis,79.0
CALIFORNIA,2022,20,Coccidioidomycosis,29.0
CALIFORNIA,2022,20,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),20.0
CALIFORNIA,2022,21,Campylobacteriosis,154.0
CALIFORNIA,2022,21,Coccidioidomycosis,18.0
CALIFORNIA,2022,21,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),19.0
CALIFORNIA,2022,22,Campylobacteriosis,87.0
CALIFORNIA,2022,22,Coccidioidomycosis,15.0
CALIFORNIA,2022,22,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),20.0
CALIFORNIA,2022,23,Campylobacteriosis,175.0
CALIFORNIA,2022,23,Coccidioidomycosis,60.0
CALIFORNIA,2022,23,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),16.0
CALIFORNIA,2022,24,Campylobacteriosis,160.0
CALIFORNIA,2022,24,Coccidioidomycosis,37.0
CALIFORNIA,2022,24,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),14.0
CALIFORNIA,2022,25,Campylobacteriosis,164.0
CALIFORNIA,2022,25,Coccidioidomycosis,44.0
CALIFORNIA,2022,25,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),22.0
CALIFORNIA,2022,26,Campylobacteriosis,145.0
CALIFORNIA,2022,26,Coccidioidomycosis,34.0
CALIFORNIA,2022,26,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),13.0
