REGION,YEAR,WEEK,LABEL,TOTAL CASES
California,2015,40,influenza,2
California,2015,41,influenza,5
California,2015,42,influenza,2
California,2015,43,influenza,0
California,2015,44,influenza,9
California,2015,45,influenza,9
California,2015,46,influenza,6
California,2015,47,influenza,5
California,2015,48,influenza,16
California,2015,49,influenza,9
California,2015,50,influenza,19
California,2015,51,influenza,40
California,2015,52,influenza,52
California,2016,1,influenza,120
California,2016,2,influenza,148
California,2016,3,influenza,205
California,2016,4,influenza,255
California,2016,5,influenza,305
California,2016,6,influenza,499
California,2016,7,influenza,609
California,2016,8,influenza,592
California,2016,9,influenza,569
California,2016,10,influenza,400
California,2016,11,influenza,286
California,2016,12,influenza,207
California,2016,13,influenza,121
California,2016,14,influenza,95
California,2016,15,influenza,52
California,2016,16,influenza,39
California,2016,17,influenza,35
California,2016,18,influenza,23
California,2016,19,influenza,15
California,2016,20,influenza,12
California,2016,21,influenza,11
California,2016,22,influenza,5
California,2016,23,influenza,5
California,2016,24,influenza,5
California,2016,25,influenza,2
California,2016,26,influenza,1
California,2016,27,influenza,1
California,2016,28,influenza,4
California,2016,29,influenza,4
California,2016,30,influenza,3
California,2016,31,influenza,1
California,2016,32,influenza,1
California,2016,33,influenza,1
California,2016,34,influenza,4
California,2016,35,influenza,3
California,2016,36,influenza,6
California,2016,37,influenza,3
California,2016,38,influenza,13
California,2016,39,influenza,6
California,2016,40,influenza,2
California,2016,41,influenza,5
California,2016,42,influenza,5
California,2016,43,influenza,11
California,2016,44,influenza,9
California,2016,45,influenza,11
California,2016,46,influenza,11
California,2016,47,influenza,17
California,2016,48,influenza,19
California,2016,49,influenza,32
California,2016,50,influenza,68
California,2016,51,influenza,106
California,2016,52,influenza,195
California,2017,1,influenza,291
California,2017,2,influenza,320
California,2017,3,influenza,242
California,2017,4,influenza,219
California,2017,5,influenza,260
California,2017,6,influenza,287
California,2017,7,influenza,204
California,2017,8,influenza,152
California,2017,9,influenza,102
California,2017,10,influenza,93
California,2017,11,influenza,105
California,2017,12,influenza,80
California,2017,13,influenza,63
California,2017,14,influenza,79
California,2017,15,influenza,47
California,2017,16,influenza,36
California,2017,17,influenza,33
California,2017,18,influenza,29
California,2017,19,influenza,36
California,2017,20,influenza,33
California,2017,21,influenza,38
California,2017,22,influenza,26
California,2017,23,influenza,25
California,2017,24,influenza,10
California,2017,25,influenza,13
California,2017,26,influenza,19
California,2017,27,influenza,12
California,2017,28,influenza,8
California,2017,29,influenza,7
California,2017,30,influenza,5
California,2017,31,influenza,5
California,2017,32,influenza,7
California,2017,33,influenza,3
California,2017,34,influenza,6
California,2017,35,influenza,4
California,2017,36,influenza,8
