YEAR,WEEK,PRCP
2015,40,0.05
2015,41,0.0
2015,42,0.0
2015,43,0.0
2015,44,0.05
2015,45,0.49
2015,46,0.65
2015,47,0.0
2015,48,0.24000000000000002
2015,49,0.29
2015,50,1.55
2015,51,1.53
2015,52,1.72
2015,53,0.11
2016,1,2.8200000000000003
2016,2,1.84
2016,3,1.8599999999999999
2016,4,0.4
2016,5,0.15
2016,6,0.0
2016,7,0.8300000000000001
2016,8,0.0
2016,9,2.2
2016,10,4.04
2016,11,0.1
2016,12,0.49
2016,13,0.0
2016,14,0.67
2016,15,0.14
2016,16,0.52
2016,17,0.13
2016,18,0.15000000000000002
2016,19,0.0
2016,20,0.0
2016,21,0.0
2016,22,0.0
2016,23,0.0
2016,24,0.0
2016,25,0.0
2016,26,0.0
2016,27,0.02
2016,28,0.0
2016,29,0.0
2016,30,0.0
2016,31,0.02
2016,32,0.0
2016,33,0.0
2016,34,0.0
2016,35,0.0
2016,36,0.0
2016,37,0.0
2016,38,0.0
2016,39,0.01
2016,40,0.01
2016,41,1.16
2016,42,0.0
2016,43,1.2400000000000002
2016,44,0.01
2016,45,0.0
2016,46,0.98
2016,47,1.07
2016,48,0.16
2016,49,2.09
2016,50,1.4300000000000002
2016,51,0.87
2016,52,0.05
2017,1,3.6799999999999997
2017,2,1.8699999999999999
2017,3,3.56
2017,4,0.26
2017,5,0.97
2017,6,2.44
2017,7,1.66
2017,8,2.48
2017,9,1.3900000000000001
2017,10,0.39
2017,11,0.0
2017,12,2.1999999999999997
2017,13,0.0
2017,14,1.22
2017,15,0.55
2017,16,0.45
2017,17,0.03
2017,18,0.0
2017,19,0.0
2017,20,0.0
2017,21,0.0
2017,22,0.0
2017,23,0.1
2017,24,0.0
2017,25,0.0
2017,26,0.0
2017,27,0.0
2017,28,0.0
2017,29,0.0
2017,30,0.0
2017,31,0.01
2017,32,0.0
2017,33,0.0
2017,34,0.0
2017,35,0.0
2017,36,0.0
2017,37,0.1
2017,38,0.0
2017,39,0.0
2017,40,0.0
2017,41,0.0
2017,42,0.31
2017,43,0.0
2017,44,0.11
2017,45,0.42
2017,46,1.79
2017,47,0.22
2017,48,0.31
2017,49,0.0
2017,50,0.0
2017,51,0.13
2017,52,0.0
2018,1,0.41000000000000003
2018,2,3.51
2018,3,0.49
2018,4,0.7999999999999999
2018,5,0.0
2018,6,0.0
2018,7,0.0
2018,8,0.01
2018,9,1.49
2018,10,0.07
2018,11,1.81
2018,12,1.58
2018,13,0.0
2018,14,3.4300000000000006
2018,15,0.35
2018,16,0.13
2018,17,0.0
2018,18,0.0
2018,19,0.0
2018,20,0.0
2018,21,0.04
2018,22,0.0
2018,23,0.01
2018,24,0.0
2018,25,0.0
2018,26,0.0
2018,27,0.0
2018,28,0.0
2018,29,0.0
2018,30,0.0
2018,31,0.0
2018,32,0.0
2018,33,0.0
2018,34,0.0
2018,35,0.0
2018,36,0.0
2018,37,0.0
2018,38,0.0
2018,39,0.0
2018,40,0.21
2018,41,0.0
2018,42,0.0
2018,43,0.0
2018,44,0.0
2018,45,0.0
2018,46,0.0
2018,47,2.23
2018,48,1.54
2018,49,0.32
2018,50,0.78
2018,51,0.12
2018,52,0.75
2019,1,1.4100000000000001
2019,2,0.38999999999999996
2019,3,2.74
2019,4,0.0
2019,5,1.7599999999999998
2019,6,1.47
2019,7,4.220000000000001
2019,8,0.0
2019,9,1.97
2019,10,1.69
2019,11,0.0
2019,12,1.33
2019,13,0.4
2019,14,0.28
2019,15,0.06
2019,16,0.09
2019,17,0.0
2019,18,0.0
2019,19,0.0
2019,20,1.71
2019,21,0.23
2019,22,0.0
2019,23,0.0
2019,24,0.0
2019,25,0.0
2019,26,0.0
2019,27,0.0
2019,28,0.0
2019,29,0.0
2019,30,0.0
2019,31,0.0
2019,32,0.0
2019,33,0.0
2019,34,0.0
2019,35,0.0
2019,36,0.0
2019,37,0.0
2019,38,0.09000000000000001
2019,39,0.03
2019,40,0.0
2019,41,0.0
2019,42,0.01
2019,43,0.0
2019,44,0.0
2019,45,0.0
2019,46,0.02
2019,47,0.0
2019,48,1.6400000000000001
2019,49,1.9
2019,50,0.5900000000000001
2019,51,1.35
2019,52,0.86
2020,1,0.01
2020,2,0.41000000000000003
2020,3,1.54
2020,4,0.41000000000000003
2020,5,0.09
2020,6,0.0
2020,7,0.0
2020,8,0.0
2020,9,0.0
2020,10,0.18000000000000002
2020,11,0.8899999999999999
2020,12,0.1
2020,13,0.27
2020,14,0.47
2020,15,0.25
2020,16,0.0
2020,17,0.0
2020,18,0.0
2020,19,0.0
2020,20,0.45999999999999996
2020,21,0.12
2020,22,0.01
2020,23,0.0
2020,24,0.0
2020,25,0.0
2020,26,0.0
2020,27,0.0
2020,28,0.0
2020,29,0.0
2020,30,0.03
2020,31,0.0
2020,32,0.0
2020,33,0.01
2020,34,0.0
2020,35,0.0
2020,36,0.0
2020,37,0.0
2020,38,0.0
2020,39,0.0
2020,40,0.0
2020,41,0.01
2020,42,0.0
2020,43,0.0
2020,44,0.0
2020,45,0.0
2020,46,0.07
2020,47,0.42
2020,48,0.0
2020,49,0.0
2020,50,1.19
2020,51,0.39
2020,52,0.33
2020,53,0.37
2021,1,0.31
2021,2,0.0
2021,3,0.23
2021,4,2.07
2021,5,0.52
2021,6,0.64
2021,7,0.55
2021,8,0.0
2021,9,0.27
2021,10,0.91
2021,11,0.44
2021,12,0.0
2021,13,0.0
2021,14,0.0
2021,15,0.0
2021,16,0.17
2021,17,0.01
2021,18,0.0
2021,19,0.0
2021,20,0.01
2021,21,0.0
2021,22,0.0
2021,23,0.0
2021,24,0.01
2021,25,0.0
2021,26,0.0
2021,27,0.0
2021,28,0.0
2021,29,0.0
2021,30,0.0
2021,31,0.05
2021,32,0.0
2021,33,0.0
2021,34,0.0
2021,35,0.0
2021,36,0.02
2021,37,0.02
2021,38,0.0
2021,39,0.03
2021,40,0.0
2021,41,0.08
2021,42,6.6499999999999995
2021,43,0.31
2021,44,0.37
2021,45,0.9000000000000001
2021,46,0.01
2021,47,0.0
2021,48,0.0
2021,49,0.65
